entities
id,address,slug,name,description,verified_at,settings,sc_version,parent_id,tx,created_at
11,erd1qqqqqqqqqqqqqpgqnrgw75lskdrpptz4uv9v9xd7nyzujy3m27rsnxk7uc,decentria-dao,Decentria DAO,The Governance of Decentria Country,2022-09-14T00:00:00.000000Z,"{""quorum"": ""10000000000000000000000000"", ""socials"": {""discord"": ""https://discord.gg/nGZdxqtvKn"", ""twitter"": ""https://twitter.com/Decentria2022"", ""website"": ""https://decentria.country/"", ""telegram"": ""https://t.me/+SnrkGK08EOuMTG58""}, ""gov_token"": ""DCM-d74772"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmXU8EA7X5NXH3Kz4qdje58W3PZgsn9CrmXR6bJhsW23Z1/WhatsAppImage2022-08-31at2.35.46PM.jpeg"", ""gov_token_nft"": false, ""gov_token_name"": ""Decentria"", ""gov_token_owned"": false, ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""100000000000000000000000""}",1.0.0,,0f3222201fbdf23f5975190bc031e1fafe9d7ccafe8dc5138682779c7adbb50d,2022-09-12T12:19:00.000000Z
12,erd1qqqqqqqqqqqqqpgqqxu6v3x0xx6vjn6e6jz07fyjkwyl7d3h27rs8pjxzv,egldrush-dao,EgldRush DAO,"Our mission is to create a strong community of people who believe in the Elrond Blockchain future and are willing to take a chance on bold new ideas based on knowledge, passion, and perspective.",2022-09-22T18:12:56.000000Z,"{""quorum"": ""50"", ""socials"": {""discord"": ""https://discord.gg/YHE2kcHXcs"", ""twitter"": ""https://twitter.com/egldrush"", ""website"": ""https://egldrush.io/"", ""telegram"": ""https://t.me/egldrushio""}, ""gov_token"": ""EGLDRUSH-90a737"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/Qmb7RBnCoGVqs2FTNZCvc9fp8GgRHvkoEMhkjWgeMuoYr3/egldrush.png"", ""gov_token_nft"": true, ""gov_token_name"": ""EgldRush"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""30""}",1.0.0,,fdbf70434e6c0f8f7debc3490e8b673e29c9a1912574f160bcd222bdd97b2630,2022-09-20T17:42:04.000000Z
13,erd1qqqqqqqqqqqqqpgqe3kcy8sam47tlvv9enn2ch9esuufl4sw27rsrejaza,elrond-wild-west,Elrond Wild West,Building together with our community!,2022-10-01T00:00:00.000000Z,"{""quorum"": ""1"", ""socials"": {""discord"": ""https://discord.gg/mkSKut2CsM"", ""twitter"": ""https://twitter.com/elrondwildwest""}, ""gov_token"": ""EWW-f945f2"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmchgoCk22YXhvccEy5s7TaoWEbij1u6vecNbTrwEgGanL/Logo_Stamp.png"", ""gov_token_nft"": true, ""gov_token_name"": ""ElrondWildWest"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,0380c887f30bf084d52c4574b9e30635e90b49f5dfab1a30536dfd0a55fcd0ad,2022-09-27T09:13:54.000000Z
14,erd1qqqqqqqqqqqqqpgq8jzrygnhp6r87adhpnc3w8kl4l57x4u527rsqz408v,elrond-sharks,Elrond Sharks,The official DAO for Elrond Sharks,,"{""quorum"": ""1"", ""gov_token"": ""SHARKS-be576b"", ""gov_token_nft"": true, ""gov_token_name"": ""Sharks"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,3efba0a3ea4d9c4cf907d15916e3806511fbf3b844e052376a47fc929c8159f2,2022-10-01T09:38:48.000000Z
15,erd1qqqqqqqqqqqqqpgq4y6z7dxpf9k7je2h27vn3uq5ryphsxsn27rsm5ln2t,giants-dao,Giants DAO,"We build Web3 products, making technology a way to invest, engage, earn and have fun.",2022-10-06T00:00:00.000000Z,"{""quorum"": ""1500000000000000000000000"", ""socials"": {""github"": ""https://github.com/Elrond-Giants"", ""discord"": ""https://discord.gg/v23VU2Pw6h"", ""twitter"": ""https://twitter.com/ElrondGiants"", ""website"": ""https://elrondgiants.com/""}, ""gov_token"": ""GIANT-761d27"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmYCFkk5BHU8B97D1E16t1JN4enKfMvitoQDFVNZt18FdD/giants.png"", ""gov_token_nft"": false, ""gov_token_name"": ""GiantsGold"", ""gov_token_owned"": false, ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""50000000000000000000000""}",1.0.0,,bc897347efaf2897076b7b3a1e4f543258f9c1c9e98cd1d1ec51da0c3c5d71a4,2022-10-02T14:47:25.000000Z
16,erd1qqqqqqqqqqqqqpgqmtm378nkzxt5angs05f4yh8sd6alw09c27rsvznkcf,theangelscommunity-dao,TheAngelsCommunity DAO,DAO for the @ElrondAngelsNFT & @TheAngelsCom. Charity and Community focused NFT project. Website: Elrond-Angels.com,2022-10-08T17:40:46.000000Z,"{""quorum"": ""100000000000000000000000"", ""socials"": {""discord"": ""https://discord.gg/WcMXwDVw2F"", ""twitter"": ""https://twitter.com/ElrondAngelsNFT"", ""website"": ""https://www.elrond-angels.com/"", ""telegram"": ""https://t.me/elrondangels""}, ""gov_token"": ""JOY-43bad3"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmP6kNXSA4xS9DDbwTCtgCV7RWTRHgXXPdLsPDr8UgwgE2/8.png"", ""gov_token_nft"": false, ""gov_token_name"": ""JOY"", ""gov_token_owned"": false, ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""10000000000000000000000""}",1.0.0,,18f7c8e30cfb56a1d6ecc6a3972ae92b40a0b47f90967f402a46ac6ca68735a3,2022-10-05T20:34:29.000000Z
17,erd1qqqqqqqqqqqqqpgqck07kf6e3zwz3wypdukf82u5n3wzz0zc27rsznmhz9,elrond-moarts-dao,Elrond Moart's DAO,A project that blur the lines between the digital and physical world,2022-10-19T17:54:25.000000Z,"{""socials"": {""discord"": ""https://discord.gg/cpUbUh7WsS"", ""twitter"": ""https://twitter.com/ElrondMoarts"", ""youtube"": ""https://www.youtube.com/channel/UCPr7myPtqiL-pa7ttoy9XcQ""}, ""gov_token"": ""MOARTS-90bdcb"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmQXZpSvtLvgCFjnFC1BqzASUe6sakWX2CvzxhBqWWeiXQ/780.png"", ""gov_token_nft"": true, ""gov_token_name"": ""ElrondMoarts"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,212a78f660c14b38a7f9df7624ef58ab297fef9bf3a30276db8a3c794c3cdeaf,2022-10-07T15:31:33.000000Z
18,erd1qqqqqqqqqqqqqpgq9ez0cfmq7l9t7s800mdfagkekqj3g9dv27rsqjagnv,vestaxfinance,VestaX.Finance™,The planetary scale DEFI Minter Engine operating on MultiversX™,2022-12-07T19:26:08.000000Z,"{""quorum"": ""100"", ""socials"": {""website"": ""https://demiourgos.holdings/""}, ""gov_token"": ""DEMIOU-6d1b5c"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmTgyZf3BmmXfcmahT7VGuYCpAbAaHh8g56W3B99FPZE3y"", ""gov_token_nft"": true, ""gov_token_name"": ""Snake"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 1440, ""min_proposal_vote_weight"": ""10""}",1.0.0,20,d17b66e1907d5dab5e2df2ba3dbe5baa631817216f591f0111e6810e8c7d03be,2022-10-11T11:11:53.000000Z
19,erd1qqqqqqqqqqqqqpgqsrwlcvx2fdmnwfg4h2yxcm8jcs3sl4jz27rslmaek6,test-dao,Test DAO,for testing purposes,,"{""quorum"": ""50000000000000000000"", ""gov_token"": ""SUPER-507aa6"", ""gov_token_nft"": false, ""gov_token_name"": ""SUPER"", ""gov_token_owned"": false, ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""5000000000000000000""}",1.0.0,,245968ced9f17c9cbe9bfbf6ad1b50ea314fa1844694b60ad9a06380813eb5db,2022-10-11T20:45:19.000000Z
20,erd1qqqqqqqqqqqqqpgql9zuu0r5pj9xcx94y08wujmwkn2hcuns27rsdcmzf0,demiourgosholdings,Demiourgos.Holdings™,NFT Owners Film Company,2022-10-13T17:39:18.000000Z,"{""quorum"": ""100"", ""socials"": {""discord"": ""https://discord.gg/wRGyRYV8"", ""twitter"": ""https://twitter.com/DemiourgosH"", ""website"": ""https://demiourgos.holdings/"", ""youtube"": ""https://www.youtube.com/c/CarpathianPictures""}, ""gov_token"": ""DEMIOU-6d1b5c"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmczsjNGhMAZ5cQ97YwDLNchenJp8Aa7jT2zJG4oczZF6F"", ""gov_token_nft"": true, ""gov_token_name"": ""Snake"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 1440, ""min_proposal_vote_weight"": ""10""}",1.0.0,,590c7ed6d6b4d0d567269b35d3029c4506f57a58ef3555b6e91f000099c1f96d,2022-10-12T12:41:22.000000Z
21,erd1qqqqqqqqqqqqqpgq92yac2gymwfqnvcac48fsyg2a0qw64ze27rsqdpqm6,orcpunks-dao,Orcpunks DAO,"Orcpunks NFT on @Elrondnetwork.
Passive income $LKMEX and $ZOG.Orcpunks is a fantasy steampunk world concentrated on Orcs in a diverse world populated by humans, elfs, dwarves and many diferent races",2022-10-16T16:21:31.000000Z,"{""quorum"": ""30000000000"", ""socials"": {""discord"": ""https://discord.gg/2fW28xDnkk"", ""twitter"": ""https://twitter.com/OrcPunks"", ""website"": ""https://app.orcpunks.org/"", ""telegram"": ""https://t.me/orcpunks""}, ""gov_token"": ""ZOG-c66239"", ""avatar_url"": ""https://media.elrond.com/nfts/asset/QmYwA4ymDxexWdfXzBty36EybVKWojyGwiJFg8QnB657pM"", ""gov_token_nft"": false, ""gov_token_name"": ""ZorgCoin"", ""gov_token_owned"": false, ""min_vote_weight"": ""1000000000"", ""gov_token_locking"": true, ""gov_token_decimals"": 6, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""10000000000""}",1.0.0,,dbe3e50101e7d71ea14071894ba3cffca2aa1dce2cb796c76e092b0a07944fca,2022-10-12T22:32:48.000000Z
22,erd1qqqqqqqqqqqqqpgq8s9q2cjrxm7uyqkhf336jk537jkxaw7j27rsknqzn7,estargames-dao,Estar.Games DAO,Building the best gaming ecosystem on Elrond.,2022-11-23T19:21:11.000000Z,"{""quorum"": ""1"", ""socials"": {""discord"": ""https://discord.estar.games"", ""twitter"": ""https://twitter.com/estartoken"", ""website"": ""https://estar.games"", ""telegram"": ""https://t.me/estartoken""}, ""gov_token"": ""EQUISTAR-3f393f"", ""gov_token_nft"": true, ""gov_token_name"": ""EquiStar"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,d8c76ec47c10f93bf57d2cc51dfbaa8d6e0690b7e7cd6c481dfa73fada0e1711,2022-10-16T08:07:12.000000Z
23,erd1qqqqqqqqqqqqqpgqqh4nd742842g8spaczhcejewr3kfdsz327rs9galyd,disruptive-digital-dao,Disruptive Digital DAO,"Official Elrond SP since 2020.
Freedom is a fundamental human right. Gold, artwork, cash and bank accounts can be confiscated. We empower everyone to be truly free.
website: disruptivedigital.eu",,"{""quorum"": ""60000000000000000000000000"", ""gov_token"": ""DISRUPTIVE-c20f7c"", ""gov_token_nft"": false, ""gov_token_name"": ""DisruptiveDigital"", ""gov_token_owned"": false, ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1200000000000000000000000""}",1.0.0,,e099e293745a4d4ca595cf29793fbe0780a07b0aeb8565e02982e1926eabf58d,2022-10-22T08:58:49.000000Z
24,erd1qqqqqqqqqqqqqpgq9en4snf9wgyc3qrr8twstf0aqcpcfqf927rsfll27l,founding8,Founding8,"The Founding 8 is made up of 8 Elrond passionate enthusiasts from around the world that have come together with several goals in mind!  
Form a strong club invest into MultiversX nft and esdt treasury",,"{""voting_period_minutes"": 4320}",1.0.0,,b2e5a8bea865b8829e3030225c48cf925c41f604221c805fd4d946ef98256b34,2022-11-09T21:14:02.000000Z
25,erd1qqqqqqqqqqqqqpgqqkyp6auk2h7y6sdj2w55qp8zad5ddurn27rs47vs2n,codingdivision,Coding.Division™,The first Company of Blockchain Coding funded and owned by NFT Owners,2022-12-07T19:25:18.000000Z,"{""quorum"": ""500"", ""gov_token"": ""DHCD-bc9963"", ""gov_token_nft"": true, ""gov_token_name"": ""DHCodingDivision"", ""gov_token_owned"": false, ""gov_token_locking"": true, ""gov_token_decimals"": 0, ""voting_period_minutes"": 1440, ""min_proposal_vote_weight"": ""50""}",1.0.0,20,eb94d8a2fa7b9064e27b05e852eb1ef4a1e82c13a25114e844290b22b164c066,2022-11-17T20:26:59.000000Z
26,erd1qqqqqqqqqqqqqpgqeu0hvnu04nh4htcpjlmcf6uh84ptx85e27rs88g3gx,space-robots,Space Robots,An upgradable NFT collection of 7777 #SpaceRobots powered by staking and gamification mechanic built on⚡#MultiversX,,"{""quorum"": ""1"", ""gov_token"": ""SRC-27d8ff"", ""gov_token_nft"": true, ""gov_token_name"": ""SpaceRobots"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,6677e5044023cad5d3320f01dc01a21204ff99f279d8e08427a830aa969cc1f0,2022-11-20T12:12:03.000000Z
27,erd1qqqqqqqqqqqqqpgqmdue0frhs20txg4slcy0393vsdf70t6u27rsr56he4,caviar-nft,Caviar NFT,Caviar DAO,,"{""quorum"": ""1"", ""gov_token"": ""CAVIAR-2106e0"", ""gov_token_nft"": false, ""gov_token_name"": ""Caviar"", ""gov_token_locking"": true, ""gov_token_decimals"": 18, ""voting_period_minutes"": 14400}",1.0.0,,3722ed0ac0ce67b6fcf183a5c934341b73b88711f377414b770900c1c963107a,2022-11-23T17:48:20.000000Z
28,erd1qqqqqqqqqqqqqpgqtd355gvsw6k9s6apgxznza3cwwkwsk6l27rsqf8lzz,the-unknown-gods-dao,The Unknown Gods DAO,We want our DAO to feel like a “secret society”. A society where the most powerful gods will rule the lands of all deities.,,"{""gov_token"": ""UNKGODS-a48ae1"", ""gov_token_nft"": true, ""gov_token_name"": ""UnknownGods"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,616cbfd736c21ad60e6d9fbcc6fe5117ac9b4bacfd575a0133bdf3531185679a,2022-11-26T08:12:07.000000Z
29,erd1qqqqqqqqqqqqqpgqw2jzfk27dx8mlhd3p9dswlp4v60lf9kk27rszcg2ad,itheum-foundation,Itheum Foundation,The Itheum Foundation is the overarching DAO that manages the disbursal of grants to support ecosystem growth,,"{""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,aedcd7069489a05261dec05dcf9ea45995d2b83d4dbae5d6388f6701a5afb34f,2022-12-02T07:22:18.000000Z
30,erd1qqqqqqqqqqqqqpgq56su26kalwekzugk7ntd9zmqhcv5q7nt27rsmtqa7x,boycott-austria-netherlands,Boycott Austria & Netherlands,"C23 is made for the purpose of financing and supporting projects, aimed at safeguarding life on planet earth.",,"{""gov_token"": ""C23-1325d3"", ""gov_token_nft"": false, ""gov_token_name"": ""Twentythree"", ""gov_token_owned"": false, ""min_vote_weight"": ""100000"", ""gov_token_locking"": true, ""gov_token_decimals"": 6, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1000000""}",1.0.0,,23971989d18db92e4bc7947e1a635f486e0662e2faf65ffcb8abe979e472e1dc,2022-12-04T19:28:29.000000Z
31,erd1qqqqqqqqqqqqqpgqv28wvt2eeku0rlneuv45zk4jczdk8nkk27rslhqlma,alphaomega,Alpha&Omega,Endless Playground,,"{""quorum"": ""1"", ""gov_token"": ""ITHIF-22be92"", ""gov_token_nft"": true, ""gov_token_name"": ""IFmember"", ""gov_token_owned"": false, ""gov_token_locking"": true, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""1""}",1.0.0,,025985530ab455327f51c1b72769af0992d31eb82d1652466075b3ac59248869,2022-12-06T13:00:53.000000Z
32,erd1qqqqqqqqqqqqqpgqc587dp02fxhxqfvvqm4yqjp8vxke34kg27rs2g7ywd,earthspirits-dao,EarthSpirits DAO,"Part of ArCPAclub DAO, dedicated to owners of NFTs from EarthSpirits Collection.",2022-12-08T22:35:02.000000Z,"{""quorum"": ""4"", ""socials"": {""discord"": ""https://discord.gg/jmfjQESvJY"", ""twitter"": ""https://twitter.com/_Official_CPA"", ""website"": ""https://artcpaclub.com/"", ""youtube"": ""https://www.youtube.com/@ArtCPAclub_Official/videos"", ""telegram"": ""https://t.me/EarthSpirits""}, ""gov_token"": ""CPA-8f71d0"", ""gov_token_nft"": true, ""gov_token_name"": ""EarthSpirits"", ""gov_token_owned"": false, ""gov_token_locking"": false, ""gov_token_decimals"": 0, ""voting_period_minutes"": 4320, ""min_proposal_vote_weight"": ""2""}",1.0.0,7,d10bbc3a5be94baf0604f14e6730149ddfdec5b5efee1631c655730e65bb0308,2022-12-07T20:54:32.000000Z
